part_number,product_type,description,quantity,Wrench Size,AMP,Approx. Spot Weld Size,Arbor,Arm,Ball Center To Base Of Hex,Ball Center To Housing End,Ball Center To Stud Thread End,Ball Center To Thread End,Ball Inside Diameter,Ball Outside Diameter,Ball Stud Neck Diameter,Ball Stud Thread Length,Ball Thickness,Barb Diameter,Barb Length,Barrel Diameter,Barrel Height,Barrel Height Post-Set,Barrel Height Pre-Set,Barrel Length,Base Diameter,Between Wing,Blade Type,Blade Width,Body Diameter,Bolt Size,Bottom Head Diameter,Bottom Head Size,Bundle Capacity,Bundle Diameter,Cable Diameter,Cable Size,Cap Finish,Cap Outside Diameter,Cavity,Center Of Hole To Bottom Of Hex,Center Of Hole To Edge,Center To Center,Circuit,Clamping Diameter,Clamping Range,Class,Closed Length,Closed Radius,Code,Coil Length,Cold Resistance (mO),Color,Connection,Contacts,Contains,Cover Or Base,Cowl Nut Height,Cowl Nut Width,Decibel,Degree,Diameter,Dielectric Strength,DIN,Drill Size,Drive Size,Drive Type,End Type,Eye I.D.,Finish,Fits,Fits Hole Size,Fits Hose I.D.,Fits Hose O.D.,Fits In,Fits Screw Size,Fits Stud Size,Fits Tubing O.D.,Flame Retardant Rating,Flange Diameter,Flange OD,Flange Thickness,Flat Length,Flute Length,For Moulding,Free Inside Diameter,Frequency,Furnished,Gap,Grade,Grade/Class,Grain,Grip Range,Grit,Groove &/or Code,Groove Diameter,Groove Width,Hardness,Head Diameter,Head Height,Head Size,Head Style,Head Thickness,Head Width,Height,Hex Height,Hex Size,Holding Strength,Holds O.D.,Hole Diameter,Hole Size,Hole Size/Grommet No,Hole Sizes,Hose Size,Housing Diameter,I2t (A2s),Illuminated,Includes,Indexing,Industry Standard No,Inner Diameter,Inner Diameter-Closed,Inner Diameter-Open,Inner Thread,Insert Type,Inside Length,Inside Width,Insulation,Internal Thread,Internal Thread Length,JIS,Jaw Depth,Jaw Inside Width,Jaw Outside Width,Kit Contents,Knurl Diameter,Lbs. Load,Lbs./Inch,Leg Length,Leg Width,Length,Length Head To Hole,Length Under Head,Location,Lock Ring Outer Diameter,Locking Style,Logo,Mandrel Material,Mandrel Push-out,Material,Material Thickness,Maximum Air Pressure,Maximum Auxiliary Current,Maximum Combined Current,Maximum Hole Diameter,Maximum Primary Current,Maximum Voltage Drop (mV),Maximum Wall Thickness,Metal Clip Length,Middle Head Diameter,Middle Head Size,Mounting,Mounting Screw Size,Size Range,Nominal Size,Open Length,Outer Diameter,Open Width,Outer Thread,Overall Height,Overall Length,Overall Width,P.S.I.,Packing,Panel Range,Panel Thickness,Pin Diameter,Pin End O.D.,Pin Head Diameter,Pin Hole,Pin Overall Length,Plate Length,Plate Width,Point,Point Type,Post-Shrunk Inner Diameter,Powerstroke,Pre-Shrunk Inner Diameter,Prong,Prong Length,Proof Load,Push On Force,Rating,Repairs,Replaces,Retainer Outer Diameter,Ring I.D.,Ring O.D.,Rivet Diameter,Rivet Length,Rockwell Hardness,Rod Diameter,Rod Size,Roller Groove,Roller O.D.,Rows,RPM,S.A.E. Standard,Screw Size,Screw Type,Shaft Diameter,Shaft Length,Shank,Shank Diameter,Shank Length,Shank Size,Shape,Shear,Shoulder Diameter,Shoulder Length,Shrink Ratio,Size,Sizes Covered,Slot,Slot Size,Solid Height,Span Range,Spline Diameter,Spool Size,Spread,Stem Diameter,Stem Length,Stem Size,Step Increments,Step Thickness,Stranding,Stud Hex Width,Stud Length,Stud Size,Style,Swing,Tab Size,Tap Size,Temperature Maximum,Temperature Range,Tensile Strength,Thickness,Thread 1,Thread 1 Length,Thread 2,Thread 2 Length,Thread Diameter,Thread Length,Thread Length-External,Thread Length-Internal,Thread Pitch,Thread Size-External,Thread Size-Internal,Thread Type,Top Head Diameter,Top Head Size,Top Of Radius To Base,Trim,Type,U Width,Used For,Used With,Volt,Voltage,Washer,Washer Diameter,Washer Head Diameter,Washer Type,Wattage,Weight,Width,Width Across Bottom Legs,Width From Ear To Ear,Wing Spread,Wire Diameter,Wire Gauge,Wire Material,Wire Strands & Strand Size,Wire Width,Wires,Wrench Width,Made In
45,Steel Inverted Fitting,"Steel Inverted Flare Plug 3/16""",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plugs,,,,,,,,,,,,,,,,,,,,,,,USA
46,Steel Inverted Fitting,"Steel Inverted Flare Plug 1/4""",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plugs,,,,,,,,,,,,,,,,,,,,,,,USA
47,Steel Inverted Fitting,"Steel Inverted Flare Plug 5/16""",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plugs,,,,,,,,,,,,,,,,,,,,,,,USA
49,Brass Fittings,"Brass Inverted Flare To Male Pipe Adapter 1/8""",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-Straight, Male",,,,,,,,,,,,,,,,,,,,,,,USA
50,Brass Fittings,"Brass Inverted Flare 3/16"" To Male Pipe 1/8"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-Straight, Male",,,,,,,,,,,,,,,,,,,,,,,USA
51,Brass Fittings,"Brass Inverted Flare 1/4"" To Male Pipe 1/8"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-Straight, Male",,,,,,,,,,,,,,,,,,,,,,,USA
52,Brass Fittings,"Brass Inverted Flare 5/16"" To Male Pipe 1/8"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-Straight, Male",,,,,,,,,,,,,,,,,,,,,,,USA
53,Brass Fittings,"Brass Inverted Flare 3/8"" To Male Pipe 1/4"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in. NPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-Straight, Male",,,,,,,,,,,,,,,,,,,,,,,USA
69,Brass Fittings,"Brass Inverted Flare Union 3/16""",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unions,,,,,,,,,,,,,,,,,,,,,,,USA
70,Brass Fittings,"Brass Inverted Flare Union 1/4""",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unions,,,,,,,,,,,,,,,,,,,,,,,USA
75,Brass Fittings,"Brass 90 Degree Inverted Flare 3/16"" To Male Pipe 1/8"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-90 Degree Elbow, Male",,,,,,,,,,,,,,,,,,,,,,,USA
76,Brass Fittings,"Brass 90 Degree Inverted Flare 1/4"" To Male Pipe 1/8"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-90 Degree Elbow, Male",,,,,,,,,,,,,,,,,,,,,,,USA
77,Brass Fittings,"Brass 90 Degree Inverted Flare 5/16"" To Male Pipe 1/8"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-90 Degree Elbow, Male",,,,,,,,,,,,,,,,,,,,,,,USA
78,Brass Fittings,"Brass 90 Degree Inverted Flare 3/8"" To Male Pipe 1/4"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in. NPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-90 Degree Elbow, Male",,,,,,,,,,,,,,,,,,,,,,,USA
91,Brass Fittings,"Brass 45 Degree Inverted Flare 1/4"" To Male Pipe 1/8"" Adapter",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To Pipe-90 Degree Elbow, Male",,,,,,,,,,,,,,,,,,,,,,,USA
101,Brass Fittings,"Brass Compression Sleeves Ferrules 1/8""",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/8 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleeves,,,,,,,,,,,,,,,,,,,,,,,USA
102,Brass Fittings,Brass Compression Sleeves Ferrules 3/16,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/16 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleeves,,,,,,,,,,,,,,,,,,,,,,,USA
103,Brass Fittings,Brass Compression Sleeves Ferrules 1/4,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/4 in.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleeves,,,,,,,,,,,,,,,,,,,,,,,USA
